level,l1,l2,l3,url
L1,School Supplies,,,https://www.officedepot.com/l/school-supplies
L2,School Supplies,Shop All Back-to-School,,https://www.officedepot.com/l/school-supplies
L2,School Supplies,Shop By Grade,,https://www.officedepot.com/l/school-supplies
L3,School Supplies,Shop By Grade,Pre-K,https://www.officedepot.com/l/school-supplies/prek
L3,School Supplies,Shop By Grade,K-5,https://www.officedepot.com/l/school-supplies/k-5th-grade
L3,School Supplies,Shop By Grade,6-8,https://www.officedepot.com/l/school-supplies/6th-8th-grade
L3,School Supplies,Shop By Grade,9-12,https://www.officedepot.com/l/school-supplies/9th-12th-grade
L3,School Supplies,Shop By Grade,College,https://www.officedepot.com/l/school-supplies/college-supplies
L2,School Supplies,Arts & Crafts,,https://www.officedepot.com/b/art-supplies/N-1824155
L3,School Supplies,Arts & Crafts,Art Markers,https://www.officedepot.com/b/art-markers/N-1824166
L3,School Supplies,Arts & Crafts,Colored Pencils,https://www.officedepot.com/b/colored-pencils/N-1824170
L3,School Supplies,Arts & Crafts,Construction Paper,https://www.officedepot.com/b/construction-paper/N-1824159
L3,School Supplies,Arts & Crafts,Crayons,https://www.officedepot.com/b/crayons/N-1824174
L3,School Supplies,Arts & Crafts,Glue,https://www.officedepot.com/b/glue-and-adhesives/N-371558
L2,School Supplies,School Electronics,,https://www.officedepot.com/l/school-supplies/school-electronics
L3,School Supplies,School Electronics,Calculators,https://www.officedepot.com/b/calculators/N-509745
L3,School Supplies,School Electronics,Earbuds & Headphones,https://www.officedepot.com/b/headphones/N-552818
L3,School Supplies,School Electronics,Flash Drives,https://www.officedepot.com/b/usb-flash-drives/N-1461987
L3,School Supplies,School Electronics,Hard Drives,https://www.officedepot.com/b/external-hard-drives/N-1461964
L2,School Supplies,School Backpacks & Lunch Bags,,https://www.officedepot.com/b/backpacks-and-lunch-bags/N-1155042
L3,School Supplies,School Backpacks & Lunch Bags,Lunch Bags,https://www.officedepot.com/b/lunch-bags/N-1510092
L3,School Supplies,School Backpacks & Lunch Bags,School Backpacks,https://www.officedepot.com/b/backpacks/N-535201
L3,School Supplies,School Backpacks & Lunch Bags,Water Bottles & Cups,https://www.officedepot.com/b/water-bottles/N-1211738
L2,School Supplies,Folders & Binders,,https://www.officedepot.com/b/folders-and-binders/N-1155061
L3,School Supplies,Folders & Binders,Binders,https://www.officedepot.com/b/binders/N-1035691
L3,School Supplies,Folders & Binders,Dividers,https://www.officedepot.com/b/dividers/N-581131
L3,School Supplies,Folders & Binders,File Folders,https://www.officedepot.com/b/file-folders/N-3545
L3,School Supplies,Folders & Binders,Pocket Folders,https://www.officedepot.com/b/pocket-folders/N-1544964
L3,School Supplies,Folders & Binders,Sheet Protectors,https://www.officedepot.com/b/sheet-protectors/N-2310
L2,School Supplies,Writing,,https://www.officedepot.com/b/writing-supplies/N-4367
L3,School Supplies,Writing,Correction Fluid,https://www.officedepot.com/b/correction-fluid/N-4405
L3,School Supplies,Writing,Erasers,https://www.officedepot.com/b/erasers/N-4420
L3,School Supplies,Writing,Highlighters,https://www.officedepot.com/b/highlighters/N-4473
L3,School Supplies,Writing,Pencils,https://www.officedepot.com/b/pencils/N-4504
L3,School Supplies,Writing,Pens,https://www.officedepot.com/b/pens/N-4520
L2,School Supplies,Teacher Supplies,,https://www.officedepot.com/b/teacher-supplies/N-1186205
L2,School Supplies,Teacher Deals & Discounts,,https://www.officedepot.com/l/id-me/teachers
L2,School Supplies,Basic School Supplies,,https://www.officedepot.com/b/basic-school-supplies/N-1155045
L3,School Supplies,Basic School Supplies,Pencil Cases,https://www.officedepot.com/b/pencil-cases/N-1156638
L3,School Supplies,Basic School Supplies,Pencil Sharpeners,https://www.officedepot.com/b/pencil-sharpeners/N-4493
L3,School Supplies,Basic School Supplies,Protractors,https://www.officedepot.com/b/protractors/N-590395
L3,School Supplies,Basic School Supplies,Rulers,https://www.officedepot.com/b/rulers/N-581690
L3,School Supplies,Basic School Supplies,Scissors,https://www.officedepot.com/b/scissors/N-581693
L3,School Supplies,Basic School Supplies,Staples & Staplers,https://www.officedepot.com/b/staplers-and-staples/N-658785
L3,School Supplies,Basic School Supplies,Tape,https://www.officedepot.com/b/office-tape/N-371573
L2,School Supplies,Notebooks & Paper,,https://www.officedepot.com/b/notebooks-and-paper/N-1155070
L3,School Supplies,Notebooks & Paper,Composition Books,https://www.officedepot.com/b/composition-books/N-530742
L3,School Supplies,Notebooks & Paper,Graph Paper,https://www.officedepot.com/b/graph-paper/N-549824
L3,School Supplies,Notebooks & Paper,Index Cards,https://www.officedepot.com/b/index-cards/N-1123261
L3,School Supplies,Notebooks & Paper,Loose Leaf Paper,https://www.officedepot.com/b/filler-paper/N-549823
L3,School Supplies,Notebooks & Paper,Notebooks,https://www.officedepot.com/b/spiral-and-wireless-notebooks/N-530745
L2,School Supplies,Academic Year Planners,,https://www.officedepot.com/b/planners/Calendar_Type--Academic_Year/N-1131212
L2,School Supplies,Featured Brands,,
L3,School Supplies,Featured Brands,Crayola,https://www.officedepot.com/b/art-supplies/Brand--Crayola/N-1824155/
L3,School Supplies,Featured Brands,Texas Instruments,https://www.officedepot.com/b/calculators/Brand--Texas_Instruments/N-509745/
L3,School Supplies,Featured Brands,Elmers,https://www.officedepot.com/b/glue/Brand--Elmer/N-371558/
L3,School Supplies,Featured Brands,Ticonderoga,https://www.officedepot.com/b/pencils/Brand--Ticonderoga/N-4504/
L1,Ink & Toner,,,https://www.officedepot.com/l/ink-and-toner
L2,Ink & Toner,Ink & Toner By Brand,,https://www.officedepot.com/l/ink-and-toner
L3,Ink & Toner,Ink & Toner By Brand,Brother Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Brother/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Canon Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Canon/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Epson Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Epson/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,HP Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--HP/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Lexmark Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Lexmark/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Xerox Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Xerox/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Samsung Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Samsung/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Dell Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Dell/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Oki Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Oki/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Ricoh Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Ricoh/N-1462019
L3,Ink & Toner,Ink & Toner By Brand,Office Depot Brand Ink & Toner,https://www.officedepot.com/b/ink-and-toner/Brand--Office_Depot/N-1462019
L1,Paper,,,https://www.officedepot.com/b/paper/N-530715
L2,Paper,Shop Paper Deals,,https://www.officedepot.com/l/paper/paper-deals
L2,Paper,Copy & Printer Paper,,https://www.officedepot.com/b/copy-and-printer-paper/N-530728
L3,Paper,Copy & Printer Paper,Copy & Multipurpose Paper,https://www.officedepot.com/b/copy-and-multipurpose-paper/N-530730
L3,Paper,Copy & Printer Paper,Colored Paper,https://www.officedepot.com/b/colored-paper/N-530729
L3,Paper,Copy & Printer Paper,Inkjet Printer Paper,https://www.officedepot.com/b/inkjet-printer-paper/N-530731
L3,Paper,Copy & Printer Paper,Laser Printer Paper,https://www.officedepot.com/b/laser-printer-paper/N-530732
L2,Paper,Photo & Presentation,,https://www.officedepot.com/b/photo-and-presentation-paper/N-530747
L3,Paper,Photo & Presentation,Brochure Paper,https://www.officedepot.com/b/brochure-and-presentation-paper/N-530748
L3,Paper,Photo & Presentation,Cardstock,https://www.officedepot.com/b/cover-and-card-stock/N-549819
L3,Paper,Photo & Presentation,Commercial Printing Paper,https://www.officedepot.com/b/commercial-printing-paper/N-1251127
L3,Paper,Photo & Presentation,Photo Printer Paper,https://www.officedepot.com/b/photo-printer-paper/N-530749
L3,Paper,Photo & Presentation,Stationery & Resume Paper,https://www.officedepot.com/b/stationery-and-resume-paper/N-549831
L3,Paper,Photo & Presentation,Wide Format Paper,https://www.officedepot.com/b/wide-format-paper/N-530751
L2,Paper,Notebooks & Pads,,https://www.officedepot.com/b/notebooks-and-pads/N-530741
L3,Paper,Notebooks & Pads,Composition Books,https://www.officedepot.com/b/composition-books/N-530742
L3,Paper,Notebooks & Pads,Discbound Notebooks,https://www.officedepot.com/b/discbound-note-taking-systems/N-1012166
L3,Paper,Notebooks & Pads,Journals & Diaries,https://www.officedepot.com/b/journals-and-diaries/N-606538
L3,Paper,Notebooks & Pads,Spiral Notebooks,https://www.officedepot.com/b/spiral-and-wireless-notebooks/N-530745
L3,Paper,Notebooks & Pads,Writing Pads,https://www.officedepot.com/b/writing-pads/N-549829
L2,Paper,Post-It & Sticky Notes,,https://www.officedepot.com/b/sticky-notes/N-1563986
L2,Paper,Art & Craft Paper,,https://www.officedepot.com/b/art-and-craft-paper/N-1824156
L3,Paper,Art & Craft Paper,Construction Paper,https://www.officedepot.com/b/construction-paper/N-1824159
L3,Paper,Art & Craft Paper,Craft & Tissue Paper,https://www.officedepot.com/b/craft-and-tissue-paper/N-1824161
L3,Paper,Art & Craft Paper,Drawing Pads & Sketchbooks,https://www.officedepot.com/b/drawing-pads-and-sketchbooks/N-1824176
L3,Paper,Art & Craft Paper,Iron-on Transfers,https://www.officedepot.com/b/craft-and-tissue-paper/Product_Type--Printable_Iron_On_Transfer/N-1824161
L2,Paper,Index Cards,,https://www.officedepot.com/b/index-cards/N-1123262
L2,Paper,Filler & Graph Paper,,https://www.officedepot.com/b/filler-and-graph-paper/N-549821
