Retailer,Scope,L1,L2,L3,L4,L5,L6,Count,Level,Category ID,Count Source,Node Type,Sub-categories,Has Deeper Levels,Name Source,Found In,URL,Notes
Scheels,Backpacks & Bags,Accessories,,,,,,11676,1,accessories,"Scheels live, 25 Sep 2026",Department (parent of scope),4,No,Scheels site menu,Site menu,https://www.scheels.com/c/accessories,
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,,,,,1165,2,accessories-backpacks-duffles,"Scheels live, 25 Sep 2026",Category,6,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/backpacks-and-duffel-bags,Scheels product taxonomy name: Backpacks & Duffel Bags (Accessories > Backpacks & Duffel Bags)
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Backpacks,,,,620,3,accessories-backpacks,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/backpacks,
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Duffels,,,,110,3,accessories-duffles,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/duffels,
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Lunch Bags,,,,37,3,accessories-lunch-bags,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/lunch-bags,
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Pack Accessories,,,,90,3,pack-accessories,"Scheels live, 25 Sep 2026",Category,0,No,Scheels product taxonomy,Product taxonomy (not in menu) + category page,https://www.scheels.com/c/pack-accessories,Live category page that the Scheels menu does not link to
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Sling & Sack Packs,,,,46,3,accessories-sling-drawstring-bags,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/sling-bags-and-drawstring-bags,Scheels product taxonomy name: Sling Bags & Drawstring Bags (Accessories > Backpacks & Duffel Bags > Sling Bags & Drawstring Bags)
Scheels,Backpacks & Bags,Accessories,Backpacks & Duffels,Tote Bags,,,,263,3,accessories-totes,"Scheels live, 25 Sep 2026",Category,0,No,Scheels product taxonomy,Product taxonomy (not in menu) + category page,https://www.scheels.com/c/tote-bags,Live category page that the Scheels menu does not link to
Scheels,Backpacks & Bags,Accessories,Belt Bags,,,,,109,2,accessories-lumbar-fanny-packs,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/belt-bags-and-fanny-packs,Scheels product taxonomy name: Belt Bags & Fanny Packs (Accessories > Belt Bags & Fanny Packs)
Scheels,Backpacks & Bags,Accessories,Luggage & Travel,,,,,232,2,accessories-luggage-travel,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/luggage-and-travel,
Scheels,Backpacks & Bags,Accessories,Sling & Drawstring Bags,,,,,46,2,accessories-sling-drawstring-bags,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/sling-bags-and-drawstring-bags,Scheels product taxonomy name: Sling Bags & Drawstring Bags (Accessories > Backpacks & Duffel Bags > Sling Bags & Drawstring Bags); Same page as Backpacks & Duffels > Sling & Sack Packs
Scheels,Hydration & Drinkware,Home & Yard,,,,,,13332,1,home-yard,"Scheels live, 25 Sep 2026",Department (parent of scope),1,No,Scheels site menu,Site menu,https://www.scheels.com/c/home-and-yard,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,,,,,1803,2,drinkware,"Scheels live, 25 Sep 2026",Category,11,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/drinkware,"Scheels also lists this same Drinkware tree under Fitness, Sports & Outdoors > Drinkware (adds Shot Glasses to the menu)"
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Can Coolers,,,,333,3,can-coolers,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/can-coolers,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Drinkware Accessories,,,,146,3,drinkware-accessories,"Scheels live, 25 Sep 2026",Category,9,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/drinkware-accessories,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Drinkware Accessories,Bar Mats,,,3,4,bar-mats,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/bar-mats,
