level,l1,l2,l3,l4,url
L1,Cleaning Supplies,,,,https://www.staples.com/cleaning-supplies/cat_SC1683
L2,Cleaning Supplies,Cleaning Chemicals & Wipes,,,https://www.staples.com/Cleaning-Chemicals-Disinfectants/cat_CG3668
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,All-Purpose Cleaners,,https://www.staples.com/All-Purpose-Cleaners-Spray-Cleaning-Chemicals/cat_CL142820/k2zyw
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Carpet Care,,https://www.staples.com/Carpet-Care/cat_CL220880
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Hard Floor Care,,https://www.staples.com/Hard-Floor-Care/cat_CL220977
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Degreasers,,https://www.staples.com/cleaners-degreasers/cat_CL142820/ral7u
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Dilution Control Chemicals,,https://www.staples.com/Dilution-Control-Chemicals/cat_CL350595
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Dishwashing Detergent,,https://www.staples.com/Dish-Soap/cat_CL215693
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Disinfectant,,https://www.staples.com/Disinfectant-Cleaning-Chemicals/cat_CL142820/8uucw
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Disinfection Wipes,,https://www.staples.com/Disinfectant-Wipes/cat_CL220881
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Drain Cleaners,,https://www.staples.com/Drain-Cleaners/cat_CL220976
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Furniture Cleaners,,https://www.staples.com/Furniture-Wood-Polish-Cleaning-Chemicals/cat_CL142820/swxsa
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Glass Cleaners,,https://www.staples.com/window-glass-cleaner-cleaning-chemicals/cat_CL142820/521tw
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Laundry Detergent,,https://www.staples.com/Laundry-Detergent/cat_CL168322
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Odor Control,,https://www.staples.com/Air-Fresheners-Deodorizers/cat_CL142818
L3,Cleaning Supplies,Cleaning Chemicals & Wipes,Restroom Cleaners,,https://www.staples.com/toilet-bathroom-cleaner-cleaning-chemicals/cat_CL142820/ba6du
L2,Cleaning Supplies,Cleaning Tools,,,https://www.staples.com/Cleaning-Tools/cat_CG3928
L3,Cleaning Supplies,Cleaning Tools,Squeegees,,https://www.staples.com/Squeegees/cat_CL204491
L3,Cleaning Supplies,Cleaning Tools,Cleaning Cloths & Rags,,https://www.staples.com/Cleaning-Cloths-Rags/cat_CL220907
L3,Cleaning Supplies,Cleaning Tools,Cleaning Brushes & Toilet Plungers,,https://www.staples.com/Cleaning-Brushes-Toilet-Plungers/cat_CL220905
L3,Cleaning Supplies,Cleaning Tools,"Cleaning Carts, Caddies & Accessories",,https://www.staples.com/Cleaning-Carts-Caddies-Accessories/cat_DP353666
L3,Cleaning Supplies,Cleaning Tools,Spray Bottles & Sprayers,,https://www.staples.com/Spray-Bottles-Sprayers/cat_CL216655
