level1,level1_url,level2,level2_url,level3,level3_url,level4,level4_url
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,HP,https://www.staples.com/hp/cat_CG812,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Epson Ink & Toner,https://www.staples.com/Epson-ink-cartridges-toner-cartridges/cat_CG782,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Canon Ink & Toner,https://www.staples.com/Canon-ink-cartridges-toner-cartridges/cat_CG703,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Brother Ink & Toner,https://www.staples.com/Brother-ink-cartridges-toner-cartridges/cat_CG628,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Lexmark Ink & Toner,https://www.staples.com/Lexmark-ink-cartridges-toner-cartridges/cat_CG554,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Samsung Ink & Toner,https://www.staples.com/Samsung-ink-cartridges-toner-cartridges/cat_CG682,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Dell Ink & Toner,https://www.staples.com/Dell-ink-cartridges-toner-cartridges/cat_CG883,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Toshiba Ink & Toner,https://www.staples.com/Toshiba-ink-cartridges-toner-cartridges/cat_CG711,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Xerox Toner & Ink,https://www.staples.com/Xerox-ink-cartridges-toner-cartridges/cat_CG620,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Sharp Ink & Toner,https://www.staples.com/Sharp-ink-cartridges-toner-cartridges/cat_CG817,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,OKI,https://www.staples.com/oki/cat_CG778,,,,
Printer Ink Cartridges & Toner Finder,https://www.staples.com/printer-ink-cartridges-toner-finder/cat_SC43,Ricoh Ink & Toner,https://www.staples.com/Ricoh/cat_CG704,,,,
"Shipping, Packing & Mailing Supplies",https://www.staples.com/Shipping-Packing-Mailing-Supplies/cat_SC5585,Packing Tape,https://www.staples.com/Packing-Tape/cat_CL140631,,,,
