level,l1,l2,url
L1,Anti-Static,,https://www.uline.com/Cls_21/Anti-Static
L2,Anti-Static,Anti-Static Bubble,https://www.uline.com/Grp_136/Anti-Static-Bubble
L2,Anti-Static,Static Shielding Bags,https://www.uline.com/Grp_2/Static-Shielding-Bags
L2,Anti-Static,Anti-Static Shippers,https://www.uline.com/Grp_48/Anti-Static-Shippers
L2,Anti-Static,Anti-Static Poly Bags,https://www.uline.com/Grp_88/Anti-Static-Poly-Bags
L2,Anti-Static,Anti-Static Poly Tubing,https://www.uline.com/Grp_139/Anti-Static-Poly-Tubing
L2,Anti-Static,Anti-Static Foam,https://www.uline.com/Grp_143/Anti-Static-Foam
L2,Anti-Static,Anti-Static Tape,https://www.uline.com/Grp_365/Anti-Static-Tape
L2,Anti-Static,Anti-Static Gloves,https://www.uline.com/Grp_378/Anti-Static-Gloves
L2,Anti-Static,Anti-Static Mats,https://www.uline.com/Grp_394/Anti-Static-Mats
L2,Anti-Static,Anti-Static Equipment,https://www.uline.com/Grp_131/Anti-Static-Equipment
L2,Anti-Static,ESD Storage,https://www.uline.com/Grp_499/ESD-Storage
L1,"Bags, Poly / Plastic",,https://www.uline.com/Cls_01/Bags-Poly-Plastic
L2,"Bags, Poly / Plastic",Flat Poly Bags,https://www.uline.com/Grp_3/Flat-Poly-Bags
L2,"Bags, Poly / Plastic",Reclosable Poly Bags,https://www.uline.com/Grp_5/Reclosable-Poly-Bags
L2,"Bags, Poly / Plastic",Poly Tubing,https://www.uline.com/Grp_43/Poly-Tubing
L2,"Bags, Poly / Plastic",Gusseted Poly Bags,https://www.uline.com/Grp_4/Gusseted-Poly-Bags
L2,"Bags, Poly / Plastic",White Block Poly Bags,https://www.uline.com/Grp_187/White-Block-Poly-Bags
L2,"Bags, Poly / Plastic",Food Bags,https://www.uline.com/Grp_316/Food-Bags
L2,"Bags, Poly / Plastic",Bags on a Roll,https://www.uline.com/Grp_174/Bags-on-a-Roll
L2,"Bags, Poly / Plastic",Poly Bag Sealers,https://www.uline.com/Grp_46/Poly-Bag-Sealers
L2,"Bags, Poly / Plastic",Apparel Bags,https://www.uline.com/Grp_358/Apparel-Bags
L2,"Bags, Poly / Plastic",Pallet Covers,https://www.uline.com/Grp_126/Pallet-Covers
L2,"Bags, Poly / Plastic",Trash Liners,https://www.uline.com/Grp_118/Trash-Liners-Bags
L2,"Bags, Poly / Plastic",Burlap and Cloth Bags,https://www.uline.com/Grp_209/Burlap-and-Cloth-Bags
L2,"Bags, Poly / Plastic",Sandbags,https://www.uline.com/Grp_353/Sandbags
L2,"Bags, Poly / Plastic",Plastic Sheeting,https://www.uline.com/Grp_81/Plastic-Sheeting
L2,"Bags, Poly / Plastic",Furniture Bags,https://www.uline.com/Grp_359/Furniture-Bags
L2,"Bags, Poly / Plastic",Twist Ties,https://www.uline.com/Grp_64/Twist-Ties
L2,"Bags, Poly / Plastic",VCI Bags and Tubing,https://www.uline.com/Grp_89/VCI-Products
L1,Barcode Labels and Printers,,https://www.uline.com/Cls_26/Barcode-Labels-and-Printers
L2,Barcode Labels and Printers,Barcode Labels,https://www.uline.com/Grp_125/Barcode-Labels
L2,Barcode Labels and Printers,Zebra Desktop Barcode Printers,https://www.uline.com/Grp_281/Zebra-Desktop-Barcode-Printers
L2,Barcode Labels and Printers,Zebra Industrial Barcode Printers,https://www.uline.com/Grp_280/Zebra-Industrial-Barcode-Printers
L2,Barcode Labels and Printers,Barcode Ribbons,https://www.uline.com/Grp_86/Barcode-Ribbons
L2,Barcode Labels and Printers,Dymo Label Printers and Labels,https://www.uline.com/Grp_197/Dymo-Label-Printers-and-Labels
L2,Barcode Labels and Printers,Brother Label Makers and Tape,https://www.uline.com/Grp_422/Brother-Label-Makers-and-Tape
L2,Barcode Labels and Printers,Zebra Mobile Barcode Printers,https://www.uline.com/Grp_596/Zebra-Mobile-Printers
L2,Barcode Labels and Printers,Barcode Equipment,https://www.uline.com/Grp_186/Barcode-Equipment
L1,Bins and Totes,,https://www.uline.com/Cls_44/Bins-and-Totes
L2,Bins and Totes,Plastic Bins,https://www.uline.com/Grp_325/Plastic-Bins
L2,Bins and Totes,Storage Totes,https://www.uline.com/Grp_289/Totes-Plastic-Storage-Boxes
L2,Bins and Totes,Bin Organizers,https://www.uline.com/Grp_326/Bin-Organizers
L2,Bins and Totes,Corrugated Bins,https://www.uline.com/Grp_324/Corrugated-Bins
L2,Bins and Totes,Conductive Bins (ESD Storage),https://www.uline.com/Grp_499/ESD-Storage
L2,Bins and Totes,Sterilite Storage Boxes,https://www.uline.com/Grp_453/Sterilite-Storage-Boxes
L2,Bins and Totes,Stack and Nest Containers,https://www.uline.com/Grp_699/Stack-and-Nest-Containers
L2,Bins and Totes,Straight Wall Containers,https://www.uline.com/Grp_700/Straight-Wall-Containers
L2,Bins and Totes,Parts Cabinets,https://www.uline.com/Grp_523/Parts-Cabinets
L2,Bins and Totes,Food Storage (Kitchen Supplies),https://www.uline.com/Grp_307/Kitchen-Supplies
L2,Bins and Totes,Trays,https://www.uline.com/Grp_742/Trays
L2,Bins and Totes,Bulk Containers,https://www.uline.com/Grp_469/Bulk-Containers
L1,"Boxes, Corrugated",,https://www.uline.com/Cls_04/Boxes-Corrugated
L2,"Boxes, Corrugated",Corrugated Boxes,https://www.uline.com/Grp_9/Corrugated-Boxes
L2,"Boxes, Corrugated",Heavy Duty Boxes,https://www.uline.com/Grp_99/Heavy-Duty-Boxes
L2,"Boxes, Corrugated",Indestructo and Literature Mailers,https://www.uline.com/Grp_29/Indestructo-and-Literature-Mailers
L2,"Boxes, Corrugated",Bulk Cargo Boxes,https://www.uline.com/Grp_351/Bulk-Cargo
L2,"Boxes, Corrugated",Corrugated Pads,https://www.uline.com/Grp_38/Corrugated-Pads
L2,"Boxes, Corrugated",Easy-Fold Mailers,https://www.uline.com/Grp_27/Easy-Fold-Mailers
L2,"Boxes, Corrugated",Storage File Boxes,https://www.uline.com/Grp_116/Storage-File-Boxes
L2,"Boxes, Corrugated",Hazardous Materials Packaging,https://www.uline.com/Grp_90/Hazardous-Materials-Packaging
L2,"Boxes, Corrugated",Wine Shippers and Supplies,https://www.uline.com/Grp_237/Wine-Shippers-and-Supplies
L2,"Boxes, Corrugated",Insulated Shippers and Supplies,https://www.uline.com/Grp_93/Insulated-Shippers-and-Supplies
L2,"Boxes, Corrugated",Wood Crates,https://www.uline.com/Grp_408/Wood-Crates
L2,"Boxes, Corrugated",Retail Boxes,https://www.uline.com/Grp_97/Retail-Boxes
L1,Bubble Cushioning,,https://www.uline.com/Cls_17/Bubble-Cushioning
L2,Bubble Cushioning,Bubble Rolls,https://www.uline.com/Grp_10/Bubble-Rolls
L2,Bubble Cushioning,Bubble Bags,https://www.uline.com/Grp_135/Bubble-Bags
L2,Bubble Cushioning,Bubble Roll Dispenser Boxes,https://www.uline.com/Grp_138/Bubble-Roll-Dispenser-Boxes
L2,Bubble Cushioning,Anti-Static Bubble,https://www.uline.com/Grp_136/Anti-Static-Bubble
L2,Bubble Cushioning,Cushioning Dispensers,https://www.uline.com/Grp_591/Cushioning-Dispensers
L2,Bubble Cushioning,Self Seal Bubble Mailers,https://www.uline.com/Grp_26/Self-Seal-Bubble-Mailers
L1,Carts,,https://www.uline.com/Cls_37/Carts
L2,Carts,Utility Carts,https://www.uline.com/Grp_37/Utility-Carts
L2,Carts,Steel Carts,https://www.uline.com/Grp_507/Steel-Carts
L2,Carts,Wire Carts,https://www.uline.com/Grp_390/Wire-Carts
L2,Carts,Security Carts,https://www.uline.com/Grp_505/Security-Carts
L2,Carts,Stock Picking Carts,https://www.uline.com/Grp_506/Stock-Picking-Carts
