level,l1,l2,l3,l4,url
L1,Office Supplies,,,,https://www.walmart.com/cp/office-supplies/1229749
L2,Office Supplies,Binders and Accessories,,,https://www.walmart.com/browse/binders-accessories/1229749_5093993
L3,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,,https://www.walmart.com/browse/office-supplies/binder-by-ring-size/1229749_5093993_3859294
L4,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,.5 Inch Binders,https://www.walmart.com/browse/office-supplies/0-5-inch-binders/1229749_5093993_3859294_7097542
L4,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,1 Inch Binders,https://www.walmart.com/browse/office-supplies/1-inch-binders/1229749_5093993_3859294_5525862
L4,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,1.5 Inch Binders,https://www.walmart.com/browse/office-supplies/15-inch-binders/1229749_5093993_3859294_5370132
L4,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,2 Inch Binders,https://www.walmart.com/browse/office-supplies/2-inch-binders/1229749_5093993_3859294_5202123
L4,Office Supplies,Binders and Accessories,Shop All Binders by Ring Size,3+ Inch Binders,https://www.walmart.com/browse/office-supplies/3-inch-binders/1229749_5093993_3859294_8518720
L3,Office Supplies,Binders and Accessories,A5 Binders,,https://www.walmart.com/browse/office-supplies/a5-binders/1229749_5093993_9819080
L3,Office Supplies,Binders and Accessories,Avery Binders,,https://www.walmart.com/browse/office-supplies/avery-binders/1229749_5093993_4522452
L3,Office Supplies,Binders and Accessories,Binding Machines,,https://www.walmart.com/browse/office-supplies/binding-machines/1229749_5093993_3441408
L3,Office Supplies,Binders and Accessories,Binding Supplies,,https://www.walmart.com/browse/office-supplies/binding-supplies/1229749_5093993_6906612
L3,Office Supplies,Binders and Accessories,Dividers,,https://www.walmart.com/browse/office-supplies/dividers/1229749_5093993_1370650
L3,Office Supplies,Binders and Accessories,Index Tabs & Inserts,,https://www.walmart.com/browse/office-supplies/index-tabs-inserts/1229749_5093993_5165002
L3,Office Supplies,Binders and Accessories,Mini Binders,,https://www.walmart.com/browse/office-supplies/mini-binders/1229749_5093993_5959018
L3,Office Supplies,Binders and Accessories,Report Covers,,https://www.walmart.com/browse/office-supplies/report-covers/1229749_5093993_2789899
L3,Office Supplies,Binders and Accessories,Sheet Protectors,,https://www.walmart.com/browse/office-supplies/sheet-protectors/1229749_5093993_9447143
L3,Office Supplies,Binders and Accessories,Three Ring Binders,,https://www.walmart.com/browse/office-supplies/three-ring-binders/1229749_5093993_1769581
L3,Office Supplies,Binders and Accessories,Zipper Binder,,https://www.walmart.com/browse/office-supplies/zipper-binder/1229749_5093993_8796015
L2,Office Supplies,Calendars & Planners,,,https://www.walmart.com/browse/office-supplies/calendars-and-planners/1229749_8412191
L3,Office Supplies,Calendars & Planners,Calendars,,https://www.walmart.com/browse/office-supplies/calendars/1229749_8412191_2274527
L4,Office Supplies,Calendars & Planners,Calendars,Desk Calendars,https://www.walmart.com/browse/office-supplies/desk-calendars/1229749_8412191_2274527_6089507
L4,Office Supplies,Calendars & Planners,Calendars,Magnetic Calendars,https://www.walmart.com/browse/office-supplies/magnetic-calendars/1229749_8412191_2274527_9105498
L4,Office Supplies,Calendars & Planners,Calendars,Skylight Calendars,https://www.walmart.com/browse/office-supplies/skylight-calendars/1229749_8412191_2274527_7417158
L4,Office Supplies,Calendars & Planners,Calendars,Today Is Calendars,https://www.walmart.com/browse/office-supplies/today-is-calendars/1229749_8412191_2274527_2381472
L4,Office Supplies,Calendars & Planners,Calendars,Undated Calendars,https://www.walmart.com/browse/office-supplies/undated-calendars/1229749_8412191_2274527_7297116
L4,Office Supplies,Calendars & Planners,Calendars,Wall Calendars,https://www.walmart.com/browse/office-supplies/wall-calendars/1229749_8412191_2274527_7175233
L3,Office Supplies,Calendars & Planners,Planners,,https://www.walmart.com/browse/office-supplies/planners/1229749_8412191_3635432
L4,Office Supplies,Calendars & Planners,Planners,Blue Sky Planners & Calendars,https://www.walmart.com/browse/office-supplies/blue-sky-planners-calendars/1229749_8412191_3635432_3011788_5751137
L4,Office Supplies,Calendars & Planners,Planners,Daily Planners,https://www.walmart.com/browse/office-supplies/daily-planners/1229749_8412191_3635432_3977500_5704117
L4,Office Supplies,Calendars & Planners,Planners,Hourly Appointment Planners,https://www.walmart.com/browse/office-supplies/hourly-appointment-planners/1229749_8412191_3635432_3936007
L4,Office Supplies,Calendars & Planners,Planners,Mead Planners,https://www.walmart.com/browse/office-supplies/mead/1229749_8412191_3635432_3011788_6730693
